,x,y,z,average2,average3,average4,average5,average6,complete2,complete3,complete4,complete5,complete6,single2,single3,single4,single5,single6,ward2,ward3,ward4,ward5,ward6
X1_69,9.358155181781408,5.083072053148095,10.811520380714152,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_41,20.656280922271765,7.935692267903842,9.599630915776785,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_55,-12.716608874497163,-0.9651965285196733,14.361425801103442,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
X1_82,34.023058118992225,-3.1869997835358705,-4.4617065081527425,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
X1_96,26.820140029030412,10.552778281853309,4.394874613886631,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_97,23.32793420919323,5.528125532998701,-12.66827820973283,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_83,23.099012720316136,-0.31746427233304203,-13.685854655014223,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_54,7.840586036313175,3.9268607648392755,2.1049768163815266,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_40,30.215909549186737,-0.9231861884916381,-12.68150817871969,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
X1_68,12.058034266852088,10.527957922486044,6.316731711694491,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_120,24.070874540398414,0.47510403040600274,11.661156541294032,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_134,0.1019609869074157,-14.881248767237825,-1.5110408069049124,0,0,0,0,5,0,2,0,2,2,0,0,0,0,0,0,2,2,0,5
X1_108,18.875213442903338,-2.103833179510584,-12.49655741963428,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_122,-2.1844942380937256,-0.1137373056354654,18.87218949982717,0,0,0,0,5,0,2,0,2,2,0,0,0,0,0,0,2,2,0,5
X1_136,12.851545654902148,4.572345587664757,5.143742276157061,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_56,-4.5718544432347,3.8759185982978988,16.416412574139947,0,0,0,0,5,0,2,0,2,2,0,0,0,0,0,0,2,2,0,5
X1_42,0.24414492151479983,-4.138417648713822,10.955730651031764,0,0,0,0,5,0,2,0,2,2,0,0,0,0,0,0,2,2,0,5
X1_95,11.197745931500734,-1.6026424101415995,8.400558950360908,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_81,31.495191618592752,8.953114955449037,-11.237858981833153,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
X1_80,11.791429197348668,14.17660787958778,-10.991277829739394,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_94,10.837442495191095,2.5324712140965007,2.84148718948906,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_43,27.064834975888168,-0.3670607911171393,-6.999096922958564,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_57,17.20200053683768,-17.153339764134156,-3.331787783473721,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,2,2,0,3
X1_137,14.872439001080886,-4.794134143383892,-16.117900504869937,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_123,19.238530420945178,-1.6359152232321712,-1.2720353427523292,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,2,2,0,3
Y1_304,-18.695702566422604,-4.294730395474665,3.3834195777668516,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_310,-18.46204747046416,-4.966897891201607,3.2591355389166785,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_338,-19.14956860600838,-2.4875383451031587,4.425121989061359,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_106,-18.055682158773042,-4.897789081810809,5.445796680815686,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_112,-18.36248712862841,-6.016069471147083,1.6203819253836682,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_113,-17.752520153339038,-1.8911890122810515,7.902386106738139,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_107,-19.277624960306692,-3.7627021386196575,2.170632709004549,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_339,-19.10336110081566,-3.0096818116880546,3.3327368731232085,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_311,-18.3369239440728,-3.0195448252737567,6.267918726188195,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_305,-17.60842257425922,-7.5575170255247395,4.363940679608872,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_313,-18.08740803733833,-5.674460243532803,4.330307799348681,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_307,-19.280459571635525,-3.731707203246854,2.5058826972446155,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_111,-19.257127628272155,-2.3059018982295623,4.102361699458225,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_105,-18.67502113283888,-4.09246872559035,4.016079573500738,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_104,-18.141913999206903,-7.521867733053717,1.715897346269913,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_110,-17.37381911263051,-8.290116233532986,1.7196876059954795,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_306,-17.97232339646636,-0.24191575637642576,8.251342236361923,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_312,-17.851994665154123,-5.902931358774378,4.616816008560881,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
