,x,y,average2,average3,average4,average5,complete2,complete3,complete4,complete5,single2,single3,single4,single5,ward2,ward3,ward4,ward5
Y1_120,-17.717146857814683,-6.989718432878598,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_108,-20.81612059535399,-5.778694547735931,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_322,-17.995744123459644,-9.632226058328005,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_336,-20.476307494944333,-3.1296244018642394,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_308,-17.408777534259624,-8.10883016197052,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_320,-20.248455119205943,-2.6436170799359506,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_334,-19.82635992537862,-4.48674368980508,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_122,-18.05316865813803,-8.184495945067061,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_123,-18.92355135070126,-2.478122296353888,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_335,-19.28837199497617,-5.7841036046078935,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_321,-19.851380067203966,0.7862398976946006,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_309,-20.477185131871483,-4.200822252853634,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
