,x,y,z,average3,average4,average5,average6,average7,average8,average9,average10,complete3,complete4,complete5,complete6,complete7,complete8,complete9,complete10,single3,single4,single5,single6,single7,single8,single9,single10,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10
Y1_103,-1.8533058023022448,-0.38856281337709514,0.9230369155369363,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_117,-2.0660784416683935,0.16633586478680323,0.47341037862976315,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_116,-2.0897981571527873,-0.3479517125746723,0.6133529157566038,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_102,-1.3826245348602961,-0.037225144027778476,1.1505345795923085,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_314,-1.9583611361534146,-0.16254499303850437,0.6676912092655582,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_328,-2.026360150911036,-0.11599571536808452,0.5842389030067977,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_213,-1.7741080152028645,-0.13283684293061043,0.8703441778757449,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_207,-1.6342754922551175,-0.1506317096605826,0.9862849353403854,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_206,-2.0819544231398273,-0.4597319374297493,0.05843841194108147,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_212,-2.1029069258509856,-0.423506138301096,-0.020530968366639136,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_204,-2.025750634079032,-0.693138592496441,-0.048909581375025005,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_210,-2.0794211804845832,-0.30640084573987403,0.21211033465472448,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_211,-1.5309109782351686,-0.0668697740766646,1.0244697417894324,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_205,-1.8720160075402825,-0.10568118202245932,0.7784298468527687,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_349,-1.9802110105248636,-0.34428154669081795,0.5014989866684518,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_201,-1.8926009973338835,-0.013569573570663596,0.8020273982704322,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_215,-1.811723316878487,-0.25814580648593866,0.7929538484926271,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_214,-1.7763179007240413,-0.002001447672798511,0.8910284151752481,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_348,-1.5933340819441877,0.07119142131289076,1.0426774115895392,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_216,-1.977948358096112,0.0017190782847922247,0.7324438536598742,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_202,-2.0188529899489653,-0.17768378862620904,0.535856297203192,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_203,-2.0072595665006308,0.16587143342625263,0.7446339996897234,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_217,-2.125387909034006,0.0599921018221603,0.3863514105422891,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_346,-2.1170638443287153,-0.3680447097366752,0.3156691250135076,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_347,-1.897076269674923,-0.07633526351005553,0.7507748239317488,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_345,-0.8030033348322407,0.16426203389616875,1.2953394505573705,0,0,4,4,4,1,0,8,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,1,0,1,1,0,7,7,7
Y1_219,-2.1107209727109852,-0.02033893281724272,0.40722216410357986,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_218,-2.005670499975349,0.17009658779629153,0.7671988437295207,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_224,-0.7614012682488646,0.3046522454488002,1.2925292248901017,0,0,4,4,4,1,0,8,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,1,0,1,1,0,7,7,7
Y1_344,-1.8502108185372566,-0.2642544446234019,0.7466477944636439,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_340,-2.1188640906393545,-0.28961246997836076,0.23880758102137958,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_208,-1.9825135359118986,-0.8493956679198775,-0.009665758425322852,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_220,-2.1068294429231558,-0.38266453282098456,0.3345589836513681,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_221,-2.0638117764661943,-0.5192513558742976,0.15422166138876628,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_209,-2.105438332336734,-0.10357778240261137,0.515533213543291,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_341,-1.791615056237148,0.12059184442445713,0.9300218238275421,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_343,-2.0326825851006864,-0.5225811160387468,0.30745285660850297,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_223,-2.0182658409317646,0.030232003835313555,0.6889070850875324,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
