,x,y,z,average2,average3,average4,average5,average6,average7,average8,average9,average10,complete2,complete3,complete4,complete5,complete6,complete7,complete8,complete9,complete10,single2,single3,single4,single5,single6,single7,single8,single9,single10,ward2,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10
X1_24,-221.73986451932817,142.35129482165507,22.643431176383398,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_18,-152.82129678166197,120.18995463175,161.66396470970898,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_19,-131.52894389748147,68.93157859110991,22.126387719237222,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
X1_25,99.01173999613954,-106.09100297043489,16.870641256375386,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_31,150.8978538168026,297.0070271192975,-99.45230386351133,0,2,0,2,0,6,2,2,0,0,0,0,1,0,2,2,0,6,0,0,2,2,5,5,5,5,5,0,2,2,2,2,0,3,8,8
X1_27,34.90867655995603,45.262065709208066,133.48742019086976,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_33,-186.31495672225122,109.12586545507286,-67.38296990276191,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
X1_32,29.378256121811027,279.95578631956704,279.76403197627417,0,2,0,2,0,6,2,2,0,0,0,0,4,4,4,4,4,9,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,7,7,7
X1_26,44.0044999419039,-110.64794195047563,13.542443548042748,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_22,9.912594236720535,-253.22365591335293,-220.76855375977186,0,0,2,0,2,2,0,3,3,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,5
X1_36,-15.11117251763803,-246.6497920753171,0.6443674534533553,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,4
X1_37,56.65741076694976,-11.395241496710735,72.01719957506135,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
