,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
X1_39,-0.3861184446869233,1.5648584800808103,-0.6877615677536058,0,1,1,0,1,0,2,2,2,1,0,1
X1_38,-1.763032840270401,2.3585860883528715,-0.07571525553402565,0,1,1,0,1,0,2,2,2,1,0,1
X1_4,-0.950105744163271,1.320272727490495,-0.7969145421747603,0,1,1,0,1,0,2,2,2,1,0,1
X1_10,-1.0126099078094613,0.6217594619831366,-0.8796005200751358,0,1,1,0,1,0,2,2,2,1,0,1
X1_6,0.23604790453626545,-1.3795970712053052,0.10516205095774084,0,0,4,0,0,4,2,2,2,2,2,2
X1_12,-0.95562520220201,1.3953172356230745,-0.9257608734167334,0,1,1,0,1,0,2,2,2,1,0,1
X1_13,0.7911398938505839,-0.06847642639459255,-0.7463682672117683,0,1,1,0,1,0,2,2,2,1,0,4
X1_7,1.4213109779947617,0.6388347734328347,-0.777414822057909,0,1,1,0,1,0,2,2,2,1,0,4
X1_3,0.7706563995740205,-0.05790865715317387,-0.750831205350905,0,1,1,0,1,0,2,2,2,1,0,4
X1_17,0.6978302681413995,0.8723118475456703,0.09216564057065833,0,1,1,0,1,0,2,2,2,1,0,4
X1_16,-1.7980730264801632,1.826136011159372,0.1835578048586426,0,1,1,0,1,0,2,2,2,1,0,1
X1_2,0.4687521294134499,-0.42983658557766874,-0.11391590275154927,0,1,1,0,1,0,2,2,2,1,0,4
X1_28,-0.36076788666129367,2.588391400140733,-0.38128198366921745,0,1,1,0,1,0,2,2,2,1,0,1
X1_14,0.002955749622174742,-0.22462771915112337,0.6457897704413809,0,1,1,0,1,0,2,2,2,1,0,4
X1_0,-0.1350255190125941,1.2792362980133842,-0.8699192722791644,0,1,1,0,1,0,2,2,2,1,0,1
X1_1,-1.172971499067015,-0.21875722999780942,-0.47606959608769656,0,1,1,0,1,0,2,2,2,1,0,4
X1_15,-0.42486951294102177,-10.462762939870059,1.0386743066149438,1,3,3,2,2,2,1,3,3,0,3,3
X1_29,1.179741875415396,1.239571983273266,-0.6136124431142513,0,1,1,0,1,0,2,2,2,1,0,4
X1_30,-1.3445385452171408,0.7321345421780326,-0.31892825522392976,0,1,1,0,1,0,2,2,2,1,0,1
X1_24,3.2047707904350533,-0.987403495310561,-0.7908934092624481,0,0,2,0,0,3,2,2,2,2,2,2
X1_18,1.5202477595189492,-1.0526309021232219,1.060698025347946,0,0,4,0,0,4,2,2,2,2,2,2
X1_19,-0.7281743025768989,1.90609893187165,-0.9517044955829306,0,1,1,0,1,0,2,2,2,1,0,1
X1_25,0.07406189842634885,1.1094676488283741,-0.5142068903899492,0,1,1,0,1,0,2,2,2,1,0,4
X1_31,-0.6590657868716688,-1.313506715469466,0.3847155141665752,0,0,4,0,1,0,2,2,2,2,2,2
X1_27,-1.7932832619126684,1.8263686042796863,0.19409940637077747,0,1,1,0,1,0,2,2,2,1,0,1
X1_33,0.11717710918598563,1.532044068247642,-1.2654486442649868,0,1,1,0,1,0,2,2,2,1,0,1
X1_32,0.2751475978378309,-1.9740297058483693,1.9471348886106674,0,0,4,0,0,4,2,2,2,2,2,2
X1_26,0.22941830438399252,1.983782967476204,-0.9613592573038563,0,1,1,0,1,0,2,2,2,1,0,1
X1_22,0.7692397345393223,0.12050294346339475,-0.43161984769858186,0,1,1,0,1,0,2,2,2,1,0,4
X1_36,-0.830461308523022,1.5400998463249844,0.3804579163747639,0,1,1,0,1,0,2,2,2,1,0,1
X1_37,-1.749447877667348,2.052021957370622,-0.2663326491444806,0,1,1,0,1,0,2,2,2,1,0,1
X1_23,-0.14271453058302178,1.7813417598622752,-0.1301940872629961,0,1,1,0,1,0,2,2,2,1,0,1
X1_9,2.2795059642182998,-4.790029716569646,4.439299727194986,2,2,0,1,3,1,0,1,4,0,1,0
X1_35,0.12904386122702666,-2.0639003089837393,0.3587075804072802,0,0,4,0,0,4,2,2,2,2,2,2
X1_21,1.3307693238626794,0.27488972602484457,-0.43641484498254857,0,1,1,0,1,0,2,2,2,1,0,4
X1_20,0.05870834315298231,1.845757350244611,-1.0962570932232423,0,1,1,0,1,0,2,2,2,1,0,1
X1_34,0.14446814790921847,1.8720918477449882,-0.18514430135151527,0,1,1,0,1,0,2,2,2,1,0,1
X1_8,0.7206354362544586,-2.438094269751036,3.4111675411978926,0,0,2,0,0,3,2,2,2,0,1,0
X1_127,-0.5316771025858888,0.2688881916651884,-1.1631009415114046,0,1,1,0,1,0,2,2,2,1,0,4
X1_133,-0.4261400440197124,1.7485495512040334,0.061819324925076885,0,1,1,0,1,0,2,2,2,1,0,1
X1_53,0.6839356928113429,0.5415206465146836,-0.8928036483355283,0,1,1,0,1,0,2,2,2,1,0,4
X1_47,2.00415932492987,-1.052439741545882,-1.0338128999114098,0,0,4,0,0,4,2,2,2,2,2,2
X1_90,0.5647275719838155,-0.8930048309091924,2.1500210016950345,0,0,4,0,0,4,2,2,2,2,2,2
X1_84,0.8298647231893415,-0.4209285048027162,1.2833711007232207,0,0,4,0,1,0,2,2,2,2,2,2
X1_85,-0.17232018905649882,1.480038698705732,-1.5577512019367206,0,1,1,0,1,0,2,2,2,1,0,1
X1_91,2.5257993310568354,-0.7899070560112348,1.1089358280250436,0,0,4,0,0,4,2,2,2,2,2,2
X1_46,0.635547216868114,0.4492525068781399,1.317546775723963,0,1,1,0,1,0,2,2,2,1,0,4
X1_52,2.1233226646271697,-3.6184152501679008,3.01666147754005,2,2,0,1,3,1,0,0,0,0,1,0
X1_132,1.810588106729976,-1.1095832769316507,0.40419941194090236,0,0,4,0,0,4,2,2,2,2,2,2
X1_126,-0.3195590756059462,1.0852751205022495,1.1227494559318547,0,1,1,0,1,0,2,2,2,1,0,4
X1_130,0.2841546111695414,-1.3561368355896497,3.638089564504989,0,0,2,0,0,3,2,2,2,0,1,0
X1_124,-0.6635588564422715,1.603093850849312,-0.9402525051840247,0,1,1,0,1,0,2,2,2,1,0,1
X1_118,-2.279777615444857,2.2802711684631163,-0.5529046998854281,0,1,1,0,1,0,2,2,2,1,0,1
X1_44,1.0599152914717231,-2.016008899441109,1.311365426620252,0,0,4,0,0,4,2,2,2,2,2,2
X1_50,0.6600032230021633,0.4145772927281562,1.3164611543275773,0,1,1,0,1,0,2,2,2,1,0,4
X1_78,-1.0624442257990065,1.6380618533682458,-0.3397758485759818,0,1,1,0,1,0,2,2,2,1,0,1
X1_87,-0.29546337908888504,2.0566090712519123,-0.5524493314366217,0,1,1,0,1,0,2,2,2,1,0,1
X1_93,-1.17121795037286,1.3728447319047632,-1.0723958387792887,0,1,1,0,1,0,2,2,2,1,0,1
X1_92,-0.6642741156751457,-0.8560581668076765,-0.46325051982383675,0,1,1,0,1,0,2,2,2,1,0,4
X1_86,2.3105873943670745,-2.607101627079024,-0.2383885233338823,0,0,2,0,0,3,2,2,2,2,2,2
X1_79,-2.478737777932172,2.270101082049552,-0.778824920383553,0,1,1,0,1,0,2,2,2,1,0,1
X1_51,0.3128607960583282,1.761591227257734,-0.6166443736814463,0,1,1,0,1,0,2,2,2,1,0,1
X1_45,1.472989071717,0.6880104365084019,-1.3098562114651373,0,1,1,0,1,0,2,2,2,1,0,4
X1_119,2.3093625231121377,0.4343523121890032,-0.8949674371411362,0,0,4,0,1,0,2,2,2,2,2,2
X1_125,-0.3775808509669059,0.5651187776148047,-0.6257798059041608,0,1,1,0,1,0,2,2,2,1,0,4
X1_131,-0.9022548633207582,0.9131687523273757,-1.0040491739106336,0,1,1,0,1,0,2,2,2,1,0,1
X1_109,-1.1165098602736603,0.8572203374048758,-0.317610760794663,0,1,1,0,1,0,2,2,2,1,0,1
X1_135,-0.7040445017488856,-2.2400431168996184,0.615874565431358,0,0,4,0,0,4,2,2,2,2,2,2
X1_121,1.0097953789256617,-0.5610234372448981,-0.7770461581586245,0,1,1,0,1,0,2,2,2,1,0,4
X1_69,-1.1095681070056373,0.027019382382464867,-0.09465175849837561,0,1,1,0,1,0,2,2,2,1,0,4
X1_41,-0.7591073462757578,-3.6201973589372867,0.5105612590663954,0,0,2,0,0,3,2,2,2,0,1,0
X1_55,-1.3104842567091743,1.4074550144573632,0.3781128941855729,0,1,1,0,1,0,2,2,2,1,0,1
X1_82,1.1946981669039158,-1.9056877456159131,-1.367058613890476,0,0,4,0,0,4,2,2,2,2,2,2
X1_96,-0.5579392875139179,-5.803365964441995,1.3869390783519415,2,2,0,1,3,1,0,0,0,0,1,0
X1_97,0.8355290952094926,0.8336065564351934,0.5670669923150111,0,1,1,0,1,0,2,2,2,1,0,4
X1_83,0.3129470778033434,-0.552112892887054,-0.836177994080209,0,1,1,0,1,0,2,2,2,1,0,4
X1_54,-1.2122625439464647,1.0056487963540255,-0.41228680430709935,0,1,1,0,1,0,2,2,2,1,0,1
X1_40,0.6958537939873461,-1.5637230467773684,-1.0323790366748193,0,0,4,0,0,4,2,2,2,2,2,2
