#Dynamic Filament(grouped by time) CSV version: 1
#time 256
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
1657,420.0,1197.5,44.102154,3.900494,1.825098,0.0,0.0,false,38
1006,950.5,1219.5,39.115214,175.601295,1.82261,0.0,0.0,false,39
1262,1067.0,1178.0,35.777088,26.565051,1.923132,0.0,0.0,false,40
1789,175.5,1228.0,35.510562,122.347443,1.80223,0.0,0.0,false,41
560,160.5,1036.5,36.687873,17.447188,1.911571,0.0,0.0,false,42
3291,1075.5,1158.0,40.360872,48.012788,2.046706,0.0,0.0,false,43
1477,1006.5,1012.5,31.144823,95.52754,1.920426,0.0,0.0,false,44
2606,294.5,1225.1,43.329329,130.3141,1.6056,0.146326,0.146326,false,45
2500,1319.0,1179.0,32.984845,104.036243,1.892148,0.0,0.0,false,46
2662,211.5,1044.5,31.016125,91.84761,1.732378,0.0,0.0,false,47
2534,184.5,1037.5,32.893768,109.536655,1.810338,0.0,0.0,false,48
2599,198.5,1154.0,31.32092,106.699244,1.782159,0.0,0.0,false,49
#time 155
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
291,1316.0,1180.5,33.060551,93.468229,1.605937,0.0,0.0,false,46
345,216.5,1029.0,32.140317,95.355825,1.836497,0.0,0.0,false,47
287,189.0,1031.5,32.572995,107.878697,1.812553,0.0,0.0,false,48
300,211.0,1163.0,34.525353,100.00798,1.603084,0.0,0.0,false,49
#time 156
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
#time 159
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
451,385.0,549.5,33.955854,76.373005,1.886558,0.0,0.0,false,50
520,295.5,590.0,31.953091,69.863697,1.998205,0.0,0.0,false,51
#time 160
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
449,390.0,548.0,31.048349,75.068583,1.844891,0.0,0.0,false,50
169,309.5,602.0,32.756679,77.660913,2.212427,0.0,0.0,false,51
#time 161
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
210,372.5,556.5,43.931765,78.178512,1.866134,0.0,0.0,false,50
228,308.8,607.6,36.785054,72.552812,1.893205,0.501153,0.501153,false,51
#time 162
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
#time 171
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
69,632.5,599.0,33.54102,169.695154,2.823444,0.0,0.0,false,52
198,610.5,597.3,35.573475,147.652557,1.903145,-0.194438,0.194438,false,53
#time 172
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
213,625.5,590.5,33.734256,168.023868,1.920561,0.0,0.0,false,52
152,592.5,570.0,34.885527,152.700428,2.119362,0.0,0.0,false,53
